"to your browser","ไปยังเบราว์เซอร์ของคุณ",""
"\"Company History\"","ประวัติของบริษัท",""
"\"Parent\" signifies the parent table in which this row must be added","\"Parent\" หมายถึงตารางหลักที่ต้องเพิ่มแถวนี้",""
"\"Team Members\" or \"Management\"","\"สมาชิกทีม\" หรือ \"การจัดการ\"",""
"amended_from" field must be present to do an amendment.","ต้องมีฟิลด์ \"amended_from\" เพื่อทำการแก้ไข",""
"\"{0}\" is not a valid Google Sheets URL","\"{0}\" ไม่ใช่ URL ของ Google Sheets ที่ถูกต้อง",""
"#{0}","#{0}",""
"${values.doctype_name} has been added to queue for optimization","${values.doctype_name} ถูกเพิ่มในคิวสำหรับการปรับปรุง",""
"% of withholding tax","% ของภาษีหัก ณ ที่จ่าย",""
"&copy; Frappe Technologies Pvt. Ltd. and contributors","&copy; Frappe Technologies Pvt. Ltd. และผู้ร่วมพัฒนา",""
"&lt;head&gt; HTML","&lt;head&gt; HTML",""
"'Account' in the Accounting section of Customer {0}","บัญชี ในส่วนการบัญชีของลูกค้า {0}",""
"'Days Since Last Order' must be greater than or equal to zero","จำนวนวันตั้งแต่คำสั่งซื้อครั้งล่าสุด ต้องมากกว่าหรือเท่ากับศูนย์",""
"'Default {0} Account' in Company {1}","บัญชี {0} เริ่มต้น ในบริษัท {1}",""
"'Entries' cannot be empty","รายการ ไม่สามารถว่างเปล่าได้",""
"'From Date' must be after 'To Date'","จากวันที่ ต้องอยู่หลัง ถึงวันที่",""
"'Has Serial No' can not be 'Yes' for non-stock item","มีหมายเลขซีเรียล ไม่สามารถเป็น ใช่ สำหรับสินค้าที่ไม่ใช่สต็อก",""
"'In Global Search' is not allowed for field {0} of type {1}","ในการค้นหาระดับโลก ไม่อนุญาตสำหรับฟิลด์ {0} ของประเภท {1}",""
"'In Global Search' not allowed for type {0} in row {1}","ในการค้นหาระดับโลก ไม่อนุญาตสำหรับประเภท {0} ในแถว {1}",""
"'In List View' is not allowed for field {0} of type {1}","ในมุมมองรายการ ไม่อนุญาตสำหรับฟิลด์ {0} ของประเภท {1}",""
"'In List View' not allowed for type {0} in row {1}","ในมุมมองรายการ ไม่อนุญาตสำหรับประเภท {0} ในแถว {1}",""
"'Inspection Required before Delivery' has disabled for the item {0}, no need to create the QI","ต้องการการตรวจสอบก่อนการส่งมอบ ถูกปิดใช้งานสำหรับสินค้า {0}, ไม่จำเป็นต้องสร้าง QI",""
"'Inspection Required before Purchase' has disabled for the item {0}, no need to create the QI","ต้องการการตรวจสอบก่อนการซื้อ ถูกปิดใช้งานสำหรับสินค้า {0}, ไม่จำเป็นต้องสร้าง QI",""
"'Opening'","เปิด",""
"'Recipients' not specified","ผู้รับ ไม่ได้ระบุ",""
"'To Package No.' cannot be less than 'From Package No.'","ถึงหมายเลขแพ็คเกจ ไม่สามารถน้อยกว่า จากหมายเลขแพ็คเกจ",""
"'Update Stock' can not be checked because items are not delivered via {0}","อัปเดตสต็อก ไม่สามารถเลือกได้เพราะสินค้าไม่ได้ส่งผ่าน {0}",""
"'Update Stock' cannot be checked for fixed asset sale","อัปเดตสต็อก ไม่สามารถเลือกได้สำหรับการขายสินทรัพย์ถาวร",""
"'{0}' account is already used by {1}. Use another account.","บัญชี '{0}' ถูกใช้โดย {1} แล้ว ใช้บัญชีอื่น",""
"'{0}' has been already added.","'{0}' ถูกเพิ่มแล้ว",""
"'{0}' is not a valid URL","'{0}' ไม่ใช่ URL ที่ถูกต้อง",""
"'{0}' not allowed for type {1} in row {2}","'{0}' ไม่อนุญาตสำหรับประเภท {1} ในแถว {2}",""
"'{0}' should be in company currency {1}.","'{0}' ควรอยู่ในสกุลเงินของบริษัท {1}",""
"(A) Qty After Transaction","(A) ปริมาณหลังการทำธุรกรรม",""
"(B) Expected Qty After Transaction","(B) ปริมาณที่คาดหวังหลังการทำธุรกรรม",""
"(C) Total Qty in Queue","(C) ปริมาณรวมในคิว",""
"(C) Total qty in queue","(C) ปริมาณรวมในคิว",""
"(D) Balance Stock Value","(D) มูลค่าสต็อกคงเหลือ",""
"(E) Balance Stock Value in Queue","(E) มูลค่าสต็อกคงเหลือในคิว",""
"(F) Change in Stock Value","(F) การเปลี่ยนแปลงในมูลค่าสต็อก",""
"(Forecast)","(การพยากรณ์)",""
"(G) Sum of Change in Stock Value","(G) ผลรวมของการเปลี่ยนแปลงในมูลค่าสต็อก",""
"(H) Change in Stock Value (FIFO Queue)","(H) การเปลี่ยนแปลงในมูลค่าสต็อก (คิว FIFO)",""
"(H) Valuation Rate","(H) อัตราการประเมินค่า",""
"(Hour Rate / 60) * Actual Operation Time","(อัตราชั่วโมง / 60) * เวลาดำเนินการจริง",""
"(I) Valuation Rate","(I) อัตราการประเมินค่า",""
"(J) Valuation Rate as per FIFO","(J) อัตราการประเมินค่าตาม FIFO",""
"(K) Valuation = Value (D) ÷ Qty (A)","(K) การประเมินค่า = มูลค่า (D) ÷ ปริมาณ (A)",""
"(Mandatory)","(จำเป็น)",""
"(Purchase Order + Material Request + Actual Expense)","(คำสั่งซื้อ + คำขอวัสดุ + ค่าใช้จ่ายจริง)",""
"(including)","(รวมถึง)",""
